year,section_name,block,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,75pq_beneficial_fraction,75pq_crop_water_deficit,75pq_relative_water_deficit,75pq_total_seasonal_biomass_production,75pq_seasonal_yield,75pq_crop_water_productivity,25pq_beneficial_fraction,25pq_crop_water_deficit,25pq_relative_water_deficit,25pq_total_seasonal_biomass_production,25pq_seasonal_yield,25pq_crop_water_productivity
2018,Thiba,H5,0.73725,0.6302781,0.36972186,18.481169,7.0119724,1.1399915,0.7364413,0.6281632,0.37183678,18.376205,6.9721484,1.1411248,0.5616596,0.39067206,0.1968736,9.730458,3.6918502,0.94884133,0.8656475,0.8031264,0.6093279,27.491392,10.430557,1.3499063,0.036143485,0.041289736,0.041289736,1.8294854,0.6941284,0.057928454,0.7621981501579285,0.6545262336730957,0.3951245844364166,19.719247817993164,7.481714248657227,1.1790887713432312,0.7124393582344055,0.6048754155635834,0.3454737663269043,17.201217651367188,6.526344299316406,1.099889874458313
2018,Thiba,H4,0.7257472,0.6540604,0.34593955,17.94273,6.8076825,1.1171054,0.7225599,0.6511879,0.3488121,17.86371,6.777702,1.1161885,0.6539071,0.56403357,0.21146059,14.508188,5.504577,0.9766382,0.8288111,0.7885394,0.43596643,23.3706,8.867081,1.2766328,0.027527085,0.0313713,0.0313713,1.3857816,0.52578187,0.05589472,0.7421414256095886,0.6729211807250977,0.36715376377105713,18.753631591796875,7.115348219871521,1.1561014354228973,0.7060010880231857,0.6328462362289429,0.32707881927490234,16.955734252929688,6.433204770088196,1.0756072700023651
2018,Thiba,H2,0.73007107,0.6541002,0.3458998,18.095053,6.8654757,1.132787,0.729703,0.65371895,0.34628105,18.126207,6.8772964,1.133981,0.44679576,0.33808047,0.23771596,7.67909,2.913537,0.9306567,0.8057932,0.76228404,0.66191953,21.916447,8.315357,1.3085954,0.028381871,0.031347387,0.031347387,1.4083178,0.53433233,0.057609763,0.7506587356328964,0.6740010976791382,0.3656182289123535,19.153627395629883,7.267111301422119,1.1745314300060272,0.7102944403886795,0.6343817710876465,0.3259989023208618,17.033512115478516,6.462714791297913,1.091552734375
2018,Thiba,H1,0.74913126,0.6727291,0.32727087,18.901756,7.171549,1.1507301,0.74977887,0.6750473,0.32495275,18.94495,7.187937,1.1518812,0.49050555,0.2736906,0.19026726,8.048531,3.0537071,1.0043819,0.84787863,0.80973274,0.7263094,24.535866,9.3091955,1.3016925,0.03014194,0.0453337,0.0453337,1.5969213,0.6058907,0.046906997,0.7696433514356613,0.7009482979774475,0.34820467233657837,20.007091522216797,7.590925812721252,1.1812379360198975,0.7305875569581985,0.6517953276634216,0.2990517020225525,17.9453067779541,6.808660387992859,1.1179101169109344
2018,Thiba,H3,0.726551,0.6384914,0.36150858,18.061743,6.852837,1.1286893,0.72906315,0.63559574,0.36440426,18.192873,6.90259,1.1333616,0.50784826,0.41279697,0.21409285,9.808235,3.7213597,0.95279866,0.8227413,0.78590715,0.587203,23.541431,8.931896,1.2878569,0.036964543,0.043399666,0.043399666,1.7343415,0.65802956,0.055770576,0.7548384815454483,0.6641468405723572,0.38730090856552124,19.324111938476562,7.331795334815979,1.1680285930633545,0.7002386599779129,0.6126990914344788,0.3358531594276428,16.810596466064453,6.378137946128845,1.093806117773056
2018,Mwea,MIAD,0.7546756,0.6168421,0.38315794,18.912804,7.17574,1.2546928,0.76110363,0.62931967,0.37068033,19.288696,7.3183584,1.2600384,0.050803673,0.23515119,0.25263226,0.0,0.0,0.0,0.85143757,0.74736774,0.7648488,23.935871,9.081551,1.441407,0.04308296,0.06325784,0.06325784,2.260118,0.8575154,0.06229092,0.7819965779781342,0.6586291790008545,0.412138894200325,20.37653350830078,7.731096386909485,1.2902612090110779,0.7352097928524017,0.587861105799675,0.3413708209991455,17.834197521209717,6.7665040493011475,1.2272667288780212
2018,Thiba,H19,0.73404616,0.6582122,0.34178787,18.230373,6.9168177,1.1341994,0.73676217,0.662257,0.33774298,18.360928,6.966352,1.1341255,0.37156704,0.25067493,0.24095571,6.2749376,2.3807852,0.99722624,0.80338496,0.7590443,0.74932504,22.022001,8.355406,1.2919627,0.029428402,0.03774698,0.037746977,1.3825793,0.5245669,0.043017585,0.751031219959259,0.6779157519340515,0.35670894384384155,19.03314208984375,7.221397876739502,1.1611847877502441,0.7197329998016357,0.6432910561561584,0.3220842480659485,17.58454704284668,6.671783924102783,1.1085302829742432
2018,Thiba,H18,0.76540625,0.68959105,0.31040895,19.864294,7.536748,1.1802958,0.769216,0.6962743,0.30372572,20.006744,7.590794,1.1764026,0.58884543,0.44897407,0.21794009,12.202656,4.629831,1.0341756,0.8279106,0.7820599,0.5510259,24.342812,9.235949,1.2953582,0.023642544,0.036939733,0.036939733,1.2005134,0.45548883,0.034746,0.7800993323326111,0.7133504152297974,0.3257964253425598,20.62201499938965,7.824234962463379,1.2024270296096802,0.7559757232666016,0.6742035746574402,0.28664958477020264,19.30813980102539,7.325735092163086,1.157062292098999
2018,Thiba,H20,0.73846114,0.66183937,0.33816075,18.509676,7.022789,1.144017,0.7391217,0.6610421,0.3389579,18.51926,7.0264254,1.1452775,0.28100422,0.22313716,0.1859476,4.8471737,1.8390747,0.80606407,0.84809387,0.8140524,0.77686286,25.055305,9.506277,1.349549,0.03940684,0.04675063,0.04675063,1.9322966,0.733136,0.059965476,0.7618909776210785,0.686690092086792,0.36123108863830566,19.644248962402344,7.453258991241455,1.184638500213623,0.713444709777832,0.6387689113616943,0.313309907913208,17.213022232055664,6.530822992324829,1.1030607223510742
2018,Mwea,M14,0.7563326,0.67000425,0.32999572,19.248926,7.3032684,1.1764289,0.75841224,0.6724487,0.3275513,19.27203,7.3120346,1.1761559,0.5844075,0.43459773,0.22738934,11.935992,4.528656,0.9875537,0.8293002,0.77261066,0.56540227,24.046982,9.123708,1.31985,0.025590498,0.030659445,0.030659443,1.2860253,0.48793307,0.04035594,0.7743282616138458,0.6909084916114807,0.34783342480659485,20.144241333007812,7.6429619789123535,1.2017391324043274,0.7399846911430359,0.6521665751934052,0.3090915083885193,18.415788650512695,6.9871666431427,1.1514463424682617
